Tract,Income
5350263.02,142.9
5350263.03,121.2
5350263.04,131.1
5350264.00,195.4
5350265.00,243.9
5350266.00,215.9
5350267.00,177.6
5350268.00,145.9
5350269.01,74.5
5350269.02,158.6
5350270.01,103.3
5350270.02,109.8
5350271.01,140.5
5350271.02,94.2
5350272.01,81.5
5350272.02,104.3
5350273.01,147.9
5350273.02,133.5
5350274.01,128.8
5350274.02,152.9
5350275.00,191.6
5350276.01,146.9
5350276.02,178.7
5350277.00,146.9
5350278.00,107.2
5350279.01,106.0
5350279.02,90.0
5350280.00,86.0
5350281.01,79.8
5350281.02,81.3
5350282.00,112.2
5350283.01,80.0
5350283.02,75.8
5350284.00,89.7
5350285.00,97.8
5350286.00,95.1
5350287.02,89.3
5350287.03,70.0
5350287.04,103.5
5350288.00,108.7
5350289.00,93.6
5350290.01,82.6
5350290.02,109.6
5350291.02,83.0
5350291.03,88.5
5350291.04,92.5
5350292.00,87.1
5350293.00,100.3
5350294.01,89.5
5350294.02,82.7
5350295.00,88.6
5350296.00,
5350297.01,92.7
5350297.02,108.6
5350298.00,133.7
5350299.01,129.5
5350299.02,113.1
5350300.00,122.4
5350301.01,121.7
5350301.03,71.4
5350301.04,79.3
5350302.01,101.0
5350302.02,78.0
5350302.03,73.8
5350303.00,68.4
5350304.01,74.4
5350304.02,134.7
5350304.03,98.6
5350304.04,78.2
5350304.05,94.7
5350304.06,85.2
5350305.01,134.3
5350305.03,105.6
5350305.04,103.7
5350306.01,85.9
5350306.02,115.8
5350307.03,67.6
5350307.04,84.7
5350307.05,79.2
5350307.06,66.1
5350307.07,81.5
5350308.02,115.4
5350308.03,122.7
5350308.04,79.8
5350309.00,77.5
5350310.01,119.4
5350310.02,93.6
5350311.02,81.3
5350311.03,85.5
5350311.04,82.7
5350311.05,70.3
5350311.06,65.2
5350312.02,75.0
5350312.03,79.4
5350312.04,69.1
5350312.05,63.9
5350312.06,74.2
5350312.07,73.4
5350313.00,86.3
5350314.01,73.2
5350314.02,76.7
5350315.01,92.5
5350315.02,67.9
5350315.03,77.3
5350316.01,84.7
5350316.03,67.5
5350316.04,60.2
5350316.05,67.9
5350316.06,66.5
5350317.02,67.8
5350317.03,94.7
5350317.04,78.3
5350317.05,86.4
5350318.00,73.3
5350319.00,80.5
5350320.01,71.3
5350320.02,77.0
5350321.01,85.9
5350321.02,83.3
5350322.01,70.3
5350322.02,70.5
5350323.01,98.3
5350323.02,111.3
5350324.01,80.4
5350324.02,79.6
5350324.03,97.6
5350324.05,76.3
5350324.06,94.5
5350330.00,138.4
5350331.01,139.3
5350331.03,65.3
5350331.04,114.1
5350332.00,71.0
5350333.00,114.0
5350334.00,140.0
5350335.00,85.3
5350336.00,102.3
5350337.01,78.2
5350337.02,96.4
5350338.00,122.9
5350339.00,153.9
5350340.00,84.0
5350341.02,77.2
5350341.03,50.4
5350341.04,66.2
5350342.00,86.6
5350343.00,77.5
5350344.01,78.7
5350344.02,69.9
5350345.00,84.3
5350346.01,77.5
5350346.02,84.9
5350347.00,121.5
5350348.00,115.7
5350349.00,82.8
5350350.00,90.5
5350351.01,79.7
5350351.02,87.5
5350352.00,85.8
5350353.02,83.1
5350353.03,82.8
5350353.04,75.0
5350354.00,91.2
5350355.02,86.9
5350355.04,82.6
5350355.05,76.5
5350355.06,72.5
5350356.00,100.9
5350357.01,62.2
5350357.02,66.2
5350358.01,96.9
5350358.02,76.4
5350358.03,69.2
5350359.00,73.5
5350360.00,107.9
5350361.01,141.7
5350361.02,141.7
5350362.01,103.8
5350362.02,102.6
5350362.03,97.5
5350362.04,102.7
5350363.02,101.9
5350363.04,90.8
5350363.05,59.4
5350363.06,84.4
5350363.07,58.8
5350364.01,87.3
5350364.02,97.0
5350365.00,80.9
5350366.00,83.3
5350367.01,69.4
5350367.02,100.2
5350368.01,79.6
5350368.02,89.0
5350369.00,80.9
5350370.01,79.3
5350370.02,82.9
5350370.03,86.5
5350371.00,90.5
5350372.00,97.6
5350373.00,86.0
5350374.01,88.6
5350374.02,83.1
5350374.03,68.4
5350375.01,66.3
5350375.02,127.1
5350375.03,72.8
5350375.04,76.9
5350375.05,90.2
5350376.01,64.9
5350376.02,65.6
5350376.04,74.9
5350376.05,64.1
5350376.06,65.7
5350376.08,76.3
5350376.09,67.2
5350376.11,65.1
5350376.12,83.3
5350376.13,68.2
5350376.14,72.9
5350376.15,73.9
5350376.16,81.3
5350377.01,77.6
5350377.02,74.9
5350377.03,77.1
5350377.04,64.7
5350377.06,59.1
5350377.07,67.7
5350378.02,62.4
5350378.03,85.2
5350378.04,71.6
5350378.05,86.8
5350378.06,73.3
5350378.07,70.7
5350378.08,71.6
5350378.11,76.3
5350378.12,68.2
5350378.14,69.7
5350378.16,76.6
5350378.17,81.4
5350378.18,59.7
5350378.19,71.2
5350378.20,59.4
5350378.21,67.9
5350378.22,65.0
5350378.23,71.1
5350378.24,65.9
5350378.25,81.9
5350378.26,86.8
5350378.27,90.9
5350378.28,85.1
5350400.02,137.5
5350400.03,119.3
5350400.04,118.3
5350400.06,141.2
5350400.07,148.7
5350400.08,89.9
5350400.11,75.3
5350400.12,96.6
5350400.13,68.1
5350400.14,69.9
5350400.15,146.1
5350400.16,108.7
5350400.17,65.3
5350400.18,60.6
5350400.19,134.9
5350400.20,109.5
5350400.21,101.5
5350400.22,103.3
5350400.23,82.0
5350401.04,79.0
5350401.05,79.3
5350401.06,104.6
5350401.07,114.6
5350401.08,133.0
5350401.09,86.6
5350401.10,101.5
5350401.11,75.1
5350401.13,63.7
5350401.14,97.1
5350401.15,108.2
5350401.17,81.3
5350401.18,87.5
5350401.19,63.3
5350401.20,65.8
5350401.21,65.8
5350401.22,70.0
5350401.23,92.2
5350402.01,128.2
5350402.02,76.4
5350402.03,116.7
5350402.04,129.6
5350402.05,155.0
5350402.06,86.4
5350402.07,129.6
5350402.08,105.0
5350402.09,118.7
5350402.10,120.6
5350402.12,78.7
5350402.13,147.7
5350403.01,90.6
5350403.04,101.1
5350403.05,140.0
5350403.07,88.0
5350403.09,79.4
5350403.10,87.7
5350403.11,86.2
5350403.12,108.8
5350403.13,119.6
5350403.14,87.2
5350403.15,114.3
5350403.16,114.9
5350410.02,101.1
5350410.03,129.4
5350410.04,121.2
5350410.05,149.8
5350410.07,111.4
5350410.09,92.6
5350410.10,115.2
5350410.11,100.5
5350410.12,95.9
5350410.13,135.5
5350410.14,111.7
5350410.15,100.3
5350411.01,103.7
5350411.04,111.6
5350411.07,119.5
5350411.08,116.1
5350411.09,116.9
5350411.12,108.6
5350411.15,115.8
5350411.16,138.3
5350411.17,134.3
5350411.18,128.4
5350411.19,134.8
5350411.21,93.0
5350411.22,110.0
5350411.23,109.3
5350411.24,70.5
5350411.25,94.3
5350411.26,124.9
5350411.27,113.7
5350411.28,134.9
5350411.29,124.1
5350411.30,133.6
5350412.01,112.8
5350412.02,116.7
5350412.04,114.3
5350412.06,106.5
5350412.08,98.0
5350412.10,97.6
5350412.11,120.6
5350412.12,108.7
5350412.13,112.0
5350412.14,148.3
5350412.15,149.3
5350412.18,141.8
5350412.19,124.9
5350412.20,123.9
5350412.21,
5350412.22,129.1
5350412.24,113.4
5350412.25,113.9
5350412.26,116.1
5350413.01,157.2
5350413.02,136.9
5350420.03,84.4
5350420.05,83.2
5350420.06,88.0
5350420.08,89.0
5350420.09,83.7
5350420.10,98.1
5350420.11,110.5
5350420.13,103.5
5350420.14,103.4
5350420.15,77.6
5350421.01,114.1
5350421.04,97.0
5350421.05,117.4
5350421.06,95.9
5350421.07,115.1
